,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,Searches,Searches_lower,Searches_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yhat,error
0,2016-01-02,897.0904242702427,897.0904242702427,897.0904242702427,851.2942036600042,1856.577696441688,378.0165231785259,378.0165231785259,378.0165231785259,476.02405163203656,476.02405163203656,476.02405163203656,378.0165231785259,378.0165231785259,378.0165231785259,0.0,0.0,0.0,98.0075284535107,98.0075284535107,98.0075284535107,1373.1144759022793,-413.8855240977207
1,2016-01-08,886.6321354541975,886.6321354541975,886.6321354541975,85.48754594753649,1025.4034040036845,-17.948985992649444,-17.948985992649444,-17.948985992649444,-322.05933010229256,-322.05933010229256,-322.05933010229256,-17.948985992649444,-17.948985992649444,-17.948985992649444,0.0,0.0,0.0,-304.1103441096431,-304.1103441096431,-304.1103441096431,564.5728053519049,-1222.427194648095
2,2016-01-18,869.2016540941222,869.2016540941222,869.2016540941222,619.0859231830055,1533.2560152419974,441.6538371524648,441.6538371524648,441.6538371524648,215.09414024948472,215.09414024948472,215.09414024948472,441.6538371524648,441.6538371524648,441.6538371524648,0.0,0.0,0.0,-226.5596969029801,-226.5596969029801,-226.5596969029801,1084.295794343607,-702.704205656393
3,2016-01-25,857.0003171420694,857.0003171420694,857.0003171420694,617.7668018116597,1569.2249321152412,441.6538371524648,441.6538371524648,441.6538371524648,215.09414024872387,215.09414024872387,215.09414024872387,441.6538371524648,441.6538371524648,441.6538371524648,0.0,0.0,0.0,-226.55969690374093,-226.55969690374093,-226.55969690374093,1072.0944573907932,-716.9055426092068
4,2016-02-05,837.8267878432587,837.8267878432587,837.8267878432587,-117.85834648637774,875.9142558811358,-138.15280127675624,-138.15280127675624,-138.15280127675624,-442.26314538883537,-442.26314538883537,-442.26314538883537,-138.15280127675624,-138.15280127675624,-138.15280127675624,0.0,0.0,0.0,-304.11034411207913,-304.11034411207913,-304.11034411207913,395.5636424544233,-1950.4363575455768
5,2016-02-15,820.3963066625216,820.3963066625216,820.3963066625216,246.70401221135194,1205.357297041171,151.75051793785426,151.75051793785426,151.75051793785426,-74.8091789646063,-74.8091789646063,-74.8091789646063,151.75051793785426,151.75051793785426,151.75051793785426,0.0,0.0,0.0,-226.5596969024606,-226.5596969024606,-226.5596969024606,745.5871276979153,-1600.4128723020847
6,2016-02-22,808.1949698360058,808.1949698360058,808.1949698360058,288.0270762720421,1263.933972305273,172.9629559291672,172.9629559291672,172.9629559291672,-53.59674097514444,-53.59674097514444,-53.59674097514444,172.9629559291672,172.9629559291672,172.9629559291672,0.0,0.0,0.0,-226.55969690431166,-226.55969690431166,-226.55969690431166,754.5982288608614,-1592.4017711391386
7,2016-02-29,795.9936330094898,795.9936330094898,795.9936330094898,271.65645350046503,1291.8937162796874,236.6002699031061,236.6002699031061,236.6002699031061,10.040572999415927,10.040572999415927,10.040572999415927,236.6002699031061,236.6002699031061,236.6002699031061,0.0,0.0,0.0,-226.5596969036902,-226.5596969036902,-226.5596969036902,806.0342060089057,-700.9657939910943
8,2016-03-10,778.56315225659,778.56315225659,778.56315225659,-93.54518976550044,870.8743485649549,109.32564195522835,109.32564195522835,109.32564195522835,-406.54976367763004,-406.54976367763004,-406.54976367763004,109.32564195522835,109.32564195522835,109.32564195522835,0.0,0.0,0.0,-515.8754056328584,-515.8754056328584,-515.8754056328584,372.01338857895996,-1134.98661142104
9,2016-03-14,771.5909599554301,771.5909599554301,771.5909599554301,282.3152016746975,1261.9038630605285,215.38783191179314,215.38783191179314,215.38783191179314,-11.17186499232843,-11.17186499232843,-11.17186499232843,215.38783191179314,215.38783191179314,215.38783191179314,0.0,0.0,0.0,-226.55969690412158,-226.55969690412158,-226.55969690412158,760.4190949631017,-747.5809050368983
