Date,Observed,Predicted,error
04/01/2016,3520,,
11/01/2016,3520,3520.0,0.0
18/01/2016,3520,3520.0,0.0
25/01/2016,3521,3520.0,-1.0
01/02/2016,4297,3521.0,-776.0
08/02/2016,4297,4297.0,0.0
15/02/2016,4298,4297.0,-1.0
22/02/2016,4012,4298.0,286.0
29/02/2016,4012,4012.0,0.0
07/03/2016,4012,4012.0,0.0
14/03/2016,3539,4012.0,473.0
21/03/2016,3540,3539.0,-1.0
28/03/2016,3260,3540.0,280.0
04/04/2016,3260,3260.0,0.0
11/04/2016,3262,3260.0,-2.0
18/04/2016,1879,3262.0,1383.0
25/04/2016,1879,1879.0,0.0
02/05/2016,1879,1879.0,0.0
09/05/2016,1881,1879.0,-2.0
16/05/2016,979,1881.0,902.0
23/05/2016,979,979.0,0.0
30/05/2016,979,979.0,0.0
06/06/2016,979,979.0,0.0
13/06/2016,979,979.0,0.0
20/06/2016,979,979.0,0.0
27/06/2016,-464,979.0,1443.0
04/07/2016,-464,-464.0,0.0
11/07/2016,-464,-464.0,0.0
18/07/2016,-464,-464.0,0.0
25/07/2016,-464,-464.0,0.0
01/08/2016,-464,-464.0,0.0
08/08/2016,1303,-464.0,-1767.0
15/08/2016,2606,1303.0,-1303.0
22/08/2016,76,2606.0,2530.0
29/08/2016,76,76.0,0.0
05/09/2016,66,76.0,10.0
12/09/2016,66,66.0,0.0
19/09/2016,66,66.0,0.0
26/09/2016,0,66.0,66.0
03/10/2016,33,0.0,-33.0
10/10/2016,34,33.0,-1.0
17/10/2016,102,34.0,-68.0
24/10/2016,103,102.0,-1.0
31/10/2016,63,103.0,40.0
07/11/2016,64,63.0,-1.0
14/11/2016,79,64.0,-15.0
21/11/2016,65,79.0,14.0
28/11/2016,62,65.0,3.0
05/12/2016,64,62.0,-2.0
12/12/2016,60,64.0,4.0
19/12/2016,41,60.0,19.0
26/12/2016,22,41.0,19.0
02/01/2017,6,22.0,16.0
09/01/2017,6,6.0,0.0
16/01/2017,6,6.0,0.0
23/01/2017,6,6.0,0.0
30/01/2017,30,6.0,-24.0
06/02/2017,30,30.0,0.0
13/02/2017,30,30.0,0.0
20/02/2017,34,30.0,-4.0
27/02/2017,34,34.0,0.0
06/03/2017,35,34.0,-1.0
13/03/2017,25,35.0,10.0
20/03/2017,25,25.0,0.0
27/03/2017,25,25.0,0.0
03/04/2017,25,25.0,0.0
10/04/2017,27,25.0,-2.0
17/04/2017,3,27.0,24.0
24/04/2017,3,3.0,0.0
01/05/2017,3,3.0,0.0
08/05/2017,3,3.0,0.0
15/05/2017,5,3.0,-2.0
22/05/2017,5,5.0,0.0
29/05/2017,5,5.0,0.0
05/06/2017,5,5.0,0.0
12/06/2017,5,5.0,0.0
19/06/2017,6,5.0,-1.0
26/06/2017,-10,6.0,16.0
03/07/2017,-10,-10.0,0.0
10/07/2017,-10,-10.0,0.0
17/07/2017,-10,-10.0,0.0
24/07/2017,-10,-10.0,0.0
31/07/2017,-10,-10.0,0.0
07/08/2017,4,-10.0,-14.0
14/08/2017,8,4.0,-4.0
21/08/2017,-3,8.0,11.0
28/08/2017,-2,-3.0,-1.0
04/09/2017,-5,-2.0,3.0
11/09/2017,-5,-5.0,0.0
18/09/2017,-5,-5.0,0.0
25/09/2017,1,-5.0,-6.0
02/10/2017,0,1.0,1.0
09/10/2017,0,0.0,0.0
16/10/2017,16,0.0,-16.0
23/10/2017,17,16.0,-1.0
30/10/2017,3,17.0,14.0
06/11/2017,3,3.0,0.0
13/11/2017,17,3.0,-14.0
20/11/2017,11,17.0,6.0
27/11/2017,9,11.0,2.0
04/12/2017,4,9.0,5.0
11/12/2017,-4,4.0,8.0
18/12/2017,1,-4.0,-5.0
25/12/2017,15,,
